XGBoost_Primary_pred,XGBoost_Secondary_pred,LightGBM_Medical_pred,RandomForest_Medical_pred,LogisticRegression_Medical_pred,CNN_Medical_pred,ensemble_mean,ensemble_std,ensemble_min,ensemble_max,ensemble_range,ensemble_median,high_confidence,low_confidence,disagreement,XGBoost_Primary_rank,XGBoost_Secondary_rank,LightGBM_Medical_rank,RandomForest_Medical_rank,LogisticRegression_Medical_rank,CNN_Medical_rank,XGBoost_Primary_XGBoost_Secondary_diff,XGBoost_Primary_XGBoost_Secondary_product,XGBoost_Primary_LightGBM_Medical_diff,XGBoost_Primary_LightGBM_Medical_product,XGBoost_Primary_RandomForest_Medical_diff,XGBoost_Primary_RandomForest_Medical_product,XGBoost_Primary_LogisticRegression_Medical_diff,XGBoost_Primary_LogisticRegression_Medical_product,XGBoost_Primary_CNN_Medical_diff,XGBoost_Primary_CNN_Medical_product,XGBoost_Secondary_LightGBM_Medical_diff,XGBoost_Secondary_LightGBM_Medical_product,XGBoost_Secondary_RandomForest_Medical_diff,XGBoost_Secondary_RandomForest_Medical_product,XGBoost_Secondary_LogisticRegression_Medical_diff,XGBoost_Secondary_LogisticRegression_Medical_product,XGBoost_Secondary_CNN_Medical_diff,XGBoost_Secondary_CNN_Medical_product,LightGBM_Medical_RandomForest_Medical_diff,LightGBM_Medical_RandomForest_Medical_product,LightGBM_Medical_LogisticRegression_Medical_diff,LightGBM_Medical_LogisticRegression_Medical_product,LightGBM_Medical_CNN_Medical_diff,LightGBM_Medical_CNN_Medical_product,RandomForest_Medical_LogisticRegression_Medical_diff,RandomForest_Medical_LogisticRegression_Medical_product,RandomForest_Medical_CNN_Medical_diff,RandomForest_Medical_CNN_Medical_product,LogisticRegression_Medical_CNN_Medical_diff,LogisticRegression_Medical_CNN_Medical_product
0.06450609117746353,0.04911211133003235,0.057571582986138126,0.13598614300056502,0.5081846953143991,0.3000716269016266,0.1859053751183708,0.16798291995009162,0.04911211133003235,0.5081846953143991,0.4590725839843668,0.10024611708901428,0.0,0.6666666666666666,0.14548185732642804,0.2358490566037736,0.16037735849056603,0.39622641509433965,0.3490566037735849,0.7547169811320755,0.9339622641509434,0.015393979847431183,0.0031680303313728064,0.006934508191325406,0.003713717781334734,-0.07148005182310149,0.008771934539266042,-0.4436786041369356,0.03278100829094215,-0.23556553572416306,0.019356447724686143,-0.008459471656105777,0.002827461993061412,-0.08687403167053268,0.006678566594385448,-0.4590725839843668,0.02495802333249934,-0.25095951557159424,0.014737151147376615,-0.0784145600144269,0.007828937516721875,-0.450613112328261,0.02925699735857825,-0.24250004391548846,0.017275598569952474,-0.37219855231383414,0.06910607664772245,-0.16408548390106156,0.040805583166256786,0.20811306841277255,0.15249180828949915
0.04709267243742943,0.03859099745750427,0.010188278704013704,0.1485815210684211,0.4989253511625189,0.28979000449180603,0.17219480422028224,0.17363069210312262,0.010188278704013704,0.4989253511625189,0.4887370724585052,0.09783709675292526,0.0,0.8333333333333334,0.14810858240458682,0.1320754716981132,0.1320754716981132,0.02830188679245283,0.42452830188679247,0.5849056603773585,0.9056603773584906,0.008501674979925156,0.0018173532022999206,0.036904393733415725,0.0004797932717093553,-0.10148884863099167,0.006997100901930174,-0.4518326787250895,0.023495728133025952,-0.2426973320543766,0.013646985757173824,0.02840271875349057,0.00039317583756293774,-0.10999052361091682,0.005733909101783556,-0.46033435370501463,0.019254026958197192,-0.25119900703430176,0.011183285326553438,-0.1383932423644074,0.0015137899469113581,-0.4887370724585052,0.00508319053014165,-0.2796017257877923,0.0029524613313999027,-0.3503438300940978,0.07413108757532319,-0.14120848342338493,0.04305743965781712,0.20913534667071287,0.14458357975446226
0.07096252590417862,0.10011865198612213,0.0215110103740912,0.10915161749348047,0.49267044959463274,0.0983673557639122,0.14879693518606954,0.15652122581625263,0.0215110103740912,0.49267044959463274,0.47115943922054154,0.09924300387501717,0.0,0.8333333333333334,0.11462450480285437,0.29245283018867924,0.4811320754716981,0.16981132075471697,0.16037735849056603,0.37735849056603776,0.4528301886792453,-0.029156126081943512,0.007104672435056636,0.04945151553008742,0.0015264756308965017,-0.03818909158930185,0.007745674483864104,-0.4217079236904541,0.034961139541582455,-0.02740482985973358,0.006980396031522174,0.07860764161203093,0.0021536533615135,-0.00903296550735834,0.010928112805552092,-0.3925517976085106,0.04932550128681136,0.0017512962222099304,0.00984840705852219,-0.08764060711938927,0.002347961576251093,-0.47115943922054154,0.01059783915223832,-0.076856345389821,0.002115981210309435,-0.3835188321011523,0.053775776464494406,0.01078426172956827,0.010736955990187655,0.39430309383072054,0.048462689389641815
0.0894312635064125,0.08405522257089615,0.02184703690797881,0.13265070009995436,0.17618533066762546,3.7231800758749656e-13,0.08402825895887328,0.06029581731342928,3.7231800758749656e-13,0.17618533066762546,0.17618533066725314,0.08674324303865433,0.0,1.0,0.048736493669798465,0.44339622641509435,0.36792452830188677,0.1792452830188679,0.32075471698113206,0.0660377358490566,0.12264150943396226,0.005376040935516357,0.0075171647588279655,0.06758422659843369,0.0019538081145517726,-0.043219436593541855,0.011863119714949117,-0.08675406716121295,0.015756476732900832,0.08943126350604019,3.3296869844739895e-14,0.06220818566291734,0.0018363575498147417,-0.04859547752905821,0.01114998412108686,-0.09213010809672931,0.014809297182994193,0.08405522257052384,3.1295272994919624e-14,-0.11080366319197554,0.0028980247409529313,-0.15433829375964664,0.0038491274217400642,0.021847036907606494,8.134045253269172e-15,-0.043534630567671095,0.023371107460402475,0.13265070009958205,4.938824436630154e-14,0.17618533066725314,6.559697128031457e-14
0.029705412685871124,0.022158026695251465,0.010372714872953728,0.2219558743572998,0.49835201866514284,0.2022811621427536,0.1641375349032121,0.1724195531961893,0.010372714872953728,0.49835201866514284,0.4879793037921891,0.11599328741431236,0.0,0.8333333333333334,0.14339215015185333,0.02830188679245283,0.02830188679245283,0.03773584905660377,0.6981132075471698,0.5283018867924528,0.7452830188679245,0.007547385990619659,0.0006582133272869939,0.019332697812917396,0.00030812577597396376,-0.19225046167142867,0.006593290845836951,-0.4686466059792717,0.014803752377285017,-0.17257574945688248,0.006008845400028107,0.011785311822297737,0.0002298388930571406,-0.19979784766204833,0.004918104189176929,-0.4761939919698914,0.011042497333214692,-0.18012313544750214,0.004482151390705624,-0.21158315948434608,0.002302284999085413,-0.4879793037921891,0.005169263395974441,-0.1919084472697999,0.0020982048190765048,-0.27639614430784304,0.11061215804054716,0.019674712214546197,0.04489749220940561,0.29607085652238924,0.10080722549177233
0.08481629937887192,0.10241803526878357,0.02295883126260904,0.27863750709015195,0.49615112535109107,0.11609895527362823,0.1835134589375226,0.15991195276073167,0.02295883126260904,0.49615112535109107,0.473192294088482,0.1092584952712059,0.0,0.8333333333333334,0.1359205715220659,0.41509433962264153,0.5188679245283019,0.19811320754716982,0.8301886792452831,0.4716981132075472,0.5094339622641509,-0.01760173588991165,0.00868671874115301,0.06185746811626287,0.0019472831057584523,-0.19382120771128003,0.023633002219540875,-0.41133482597221915,0.04208170238494235,-0.03128265589475632,0.009847083748062313,0.07945920400617452,0.0023513983899839438,-0.17621947182136838,0.028537506028365113,-0.3937330900823075,0.050814823454854705,-0.013680920004844666,0.011890626895883383,-0.2556786758275429,0.006397191508716829,-0.473192294088482,0.011391049967689287,-0.09314012401101919,0.002665496323892425,-0.21751361826093912,0.1382463127078015,0.1625385518165237,0.03234952347321482,0.38005217007746284,0.05760262731109664
0.1163235679268837,0.11428480595350266,0.07446928510761536,0.22071076371764714,0.5232743813380861,0.019545484334230423,0.17810138139632756,0.1656947981296094,0.019545484334230423,0.5232743813380861,0.5037288970038557,0.11530418694019318,0.0,0.8333333333333334,0.1292607940876927,0.6320754716981132,0.5660377358490566,0.46226415094339623,0.6886792452830188,0.8207547169811321,0.33962264150943394,0.0020387619733810425,0.013294016388342988,0.04185428281926834,0.008662532944682163,-0.10438719579076344,0.025673863515504106,-0.40695081341120243,0.06086914304197891,0.09677808359265327,0.002273600474616694,0.0398155208458873,0.008510707798019886,-0.10642595776414449,0.025223886803320678,-0.40898957538458347,0.059802311131662324,0.09473932161927223,0.00223375188440475,-0.14624147861003178,0.01643617278960899,-0.44880509623047077,0.038967869093376975,0.054923800773384934,0.0014555382454522349,-0.302563617620439,0.11549228833900832,0.20116527938341672,0.004313898774639305,0.5037288970038557,0.010227651222947678
0.06641808897256851,0.06342900544404984,0.026076995282256422,0.1638913181377244,0.47516729010968345,0.0017258361913263798,0.1327847556896015,0.16123024900108818,0.0017258361913263798,0.47516729010968345,0.47344145391835707,0.06492354720830917,0.0,0.8333333333333334,0.12449636562273493,0.2641509433962264,0.2358490566037736,0.25471698113207547,0.4811320754716981,0.22641509433962265,0.2358490566037736,0.0029890835285186768,0.0042128333270244345,0.040341093690312094,0.0017319841927941563,-0.09747322916515588,0.01088534814990291,-0.40874920113711494,0.03155970335135923,0.06469225278124213,0.00011462674170759427,0.03735201016179342,0.0016540378757227046,-0.10046231269367456,0.010395463310390225,-0.4117382846656336,0.030139388631201518,0.061703169252723455,0.00010946807317517918,-0.13781432285546796,0.004273793129880225,-0.449090294827427,0.012390935182472784,0.024351159090930042,4.50046222191654e-05,-0.31127597197195905,0.07787579351200652,0.16216548194639802,0.0002828495682862703,0.47344145391835707,0.000820060906205773
0.06184372678399086,0.09242909401655197,0.036200176092007826,0.0873515584006728,0.5034699847855695,0.23529687523841858,0.16943190255286858,0.16223037062985923,0.036200176092007826,0.5034699847855695,0.46726980869356166,0.08989032620861238,0.0,0.8333333333333334,0.13330101830608362,0.2169811320754717,0.4339622641509434,0.32075471698113206,0.05660377358490566,0.6886792452830188,0.8207547169811321,-0.03058536723256111,0.0057161596372514445,0.025643550691983034,0.00223875379976649,-0.025507831616681936,0.00540214591188703,-0.4416262580015786,0.031136460183018792,-0.17345314845442772,0.014551635665371543,0.056228917924544146,0.003345949479423928,0.005077535615879175,0.008073825403908117,-0.4110408907690175,0.04653527455825739,-0.1428677812218666,0.02174827700321269,-0.05115138230866497,0.0031621417960156608,-0.46726980869356166,0.018225702106278115,-0.19909669914641076,0.008517788317529949,-0.4161184263848967,0.04397888777898252,-0.14794531683774578,0.02055354873888454,0.2681731095471509,0.11846491419637864
0.060180410742759705,0.050680216401815414,0.02817700183145025,0.13191914375630606,0.7467329001095653,0.07196369022130966,0.18160889384386772,0.25471710614276244,0.02817700183145025,0.7467329001095653,0.7185558982781151,0.06607205048203468,0.16666666666666666,0.8333333333333334,0.18837466875523254,0.18867924528301888,0.16981132075471697,0.2641509433962264,0.3018867924528302,0.9622641509433962,0.42452830188679247,0.00950019434094429,0.003049956239593199,0.032003408911309456,0.0016957035437161685,-0.07173873301354636,0.007938948256087663,-0.6865524893668056,0.04493869264372579,-0.011783279478549957,0.0043308044360831355,0.022503214570365165,0.0014280165503722478,-0.08123892735449065,0.006685690753111788,-0.6960526837077499,0.03784458497190798,-0.021283473819494247,0.0036471353934891815,-0.10374214192485581,0.0037170859552247844,-0.7185558982781151,0.021040694293991375,-0.04378668838985941,0.002027721031163761,-0.6148137563532592,0.09850836479711708,0.0599554535349964,0.009493388395539227,0.6747692098882556,0.05373765510154493
